Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,wb,1,18,72.000000000000000,0.333333333333333
,b26,2,318,1272.000000000000000,89.930817610062888
,b25,3,4,16.000000000000000,374.000000000000000
,b24,4,51,204.000000000000000,792.431372549019560
,b23,5,229,916.000000000000000,63.475982532751090
,b12,6,38,152.000000000000000,9.842105263157896
,n10,7,19,76.000000000000000,0.000000000000000
,n28,8,5,20.000000000000000,0.000000000000000
,c58,9,59,236.000000000000000,0.000000000000000
,m27,10,11,44.000000000000000,1.090909090909091
,c46,11,16,64.000000000000000,48.000000000000000
,c6,12,22,88.000000000000000,0.000000000000000
,m28,13,20,80.000000000000000,16.899999999999999
,m29,14,12,48.000000000000000,81.833333333333329
,m25,15,9,36.000000000000000,0.000000000000000
,m23a,16,5,20.000000000000000,12.800000000000001
,m11,17,1,4.000000000000000,66.000000000000000
,m22a,18,2,8.000000000000000,0.000000000000000
,m23,19,46,184.000000000000000,33.478260869565219
,m24,20,4,16.000000000000000,5.000000000000000
,m21,21,28,112.000000000000000,0.000000000000000
,m16-22,22,27,108.000000000000000,0.000000000000000
,m12,23,41,164.000000000000000,46.926829268292686
,c51,24,18,72.000000000000000,1.444444444444444
,c38,25,13,52.000000000000000,56.769230769230766
,c24,26,28,112.000000000000000,46.142857142857146
,c37,27,13,52.000000000000000,2.615384615384615
,p55,28,8,32.000000000000000,5.500000000000000
,m33-34-35,29,229,916.000000000000000,25.781659388646290
,m6a,30,17,68.000000000000000,35.294117647058826
,m5,31,38,152.000000000000000,9.105263157894736
,m4,32,21,84.000000000000000,0.000000000000000
,m1a,33,13,52.000000000000000,2.153846153846154
,m14,34,6,24.000000000000000,0.000000000000000
,m14a,35,25,100.000000000000000,314.560000000000000
,m38,36,46,184.000000000000000,0.000000000000000
,m36,37,13,52.000000000000000,0.000000000000000
,mis,38,34,136.000000000000000,747.176470588235250
,p63,39,29,116.000000000000000,13.034482758620690
,p42,40,36,144.000000000000000,18.388888888888889
,p44,41,53,212.000000000000000,232.641509433962260
,p22,42,9,36.000000000000000,0.000000000000000
,p24,43,38,152.000000000000000,2.210526315789474
,p33,44,18,72.000000000000000,8.666666666666666
,p39,45,12,48.000000000000000,0.000000000000000
,p21,46,24,96.000000000000000,0.000000000000000
,qr132,47,15,60.000000000000000,0.000000000000000
,qr20,48,40,160.000000000000000,0.000000000000000
,s39,49,10,40.000000000000000,0.000000000000000
,s5,50,10,40.000000000000000,7.400000000000000
,qr65,51,30,120.000000000000000,0.000000000000000
,d22,52,10,40.000000000000000,0.000000000000000
,d16,53,10,40.000000000000000,0.000000000000000
,d9-11,54,3,12.000000000000000,0.000000000000000
,d35,55,9,36.000000000000000,0.000000000000000
,d12,56,13,52.000000000000000,0.000000000000000
,d47,57,16,64.000000000000000,0.000000000000000
,hk1,58,40,160.000000000000000,0.000000000000000
,d1,59,236,944.000000000000000,5.076271186440678
,g58,60,2,8.000000000000000,0.000000000000000
,g23,61,4,16.000000000000000,0.000000000000000
,g43,62,10,40.000000000000000,20.199999999999999
,f37,63,26,104.000000000000000,103.846153846153840
,g35,64,71,284.000000000000000,31.098591549295776
,f23,65,10,40.000000000000000,0.000000000000000
,g32,66,10,40.000000000000000,8.000000000000000
,f5,67,41,164.000000000000000,0.000000000000000
,fbeach,68,136,544.000000000000000,42.294117647058826
,g2,69,23,92.000000000000000,0.000000000000000
,d70,70,5,20.000000000000000,0.000000000000000
,b33,71,9,36.000000000000000,72.888888888888886
,s2-4,72,130,520.000000000000000,3.461538461538462
,p6,73,223,892.000000000000000,18.816143497757846
,l17,74,45,180.000000000000000,0.000000000000000
,l23_1,75,1,4.000000000000000,48.000000000000000
,t5,76,32,128.000000000000000,0.000000000000000
,m7,77,56,224.000000000000000,8.214285714285714
,m6,78,11,44.000000000000000,13.272727272727273
,m31,79,106,424.000000000000000,16.358490566037737
,m30,80,38,152.000000000000000,13.894736842105264
,m32,81,59,236.000000000000000,11.423728813559322
,m37,82,13,52.000000000000000,0.000000000000000
,g54,83,6,24.000000000000000,8.333333333333334
,t16,84,48,192.000000000000000,0.000000000000000
,l13,85,119,476.000000000000000,10.285714285714286
,n22,86,7,28.000000000000000,0.000000000000000
,n12,87,15,60.000000000000000,4.800000000000000
,s38,88,27,108.000000000000000,101.037037037037040
,p40_1,89,19,76.000000000000000,34.000000000000000
,c30-31,90,144,576.000000000000000,0.027777777777778
,l23_2,91,1,4.000000000000000,0.000000000000000
,s3,92,1,4.000000000000000,0.000000000000000
,d24_2,93,5,20.000000000000000,0.000000000000000
,d24_1,94,25,100.000000000000000,4376.159999999999900
,c19-1,95,9,36.000000000000000,12.000000000000000
,n11,96,8,32.000000000000000,0.000000000000000
,b10,97,40,160.000000000000000,5.650000000000000
,t7,98,64,256.000000000000000,0.000000000000000
,t18,99,2,8.000000000000000,0.000000000000000
,s33,100,50,200.000000000000000,2.880000000000000
,d48,101,6,24.000000000000000,2040.666666666666700
,p23,102,3,12.000000000000000,0.000000000000000
,m19,103,36,144.000000000000000,18.333333333333332
,m20,104,84,336.000000000000000,0.714285714285714
,g46,105,3,12.000000000000000,0.000000000000000
,l19,106,4,16.000000000000000,0.000000000000000
,c40,107,2,8.000000000000000,61.000000000000000