"subcol","active_ct","ch_ct","col","prod","area_name","season","FID","area","perimeter","pa_ratio","flood_risk","mean_aspect","mean_slope","mean_elev","adjust_mean_elev","mean_wind","mean_solar","skua50"
"10n",28,37,"royds",1.32142857142857,NA,"1415",13,17.1012993,19.4971008,1.14009475708,NA,47.5101146698,6.12490439415,-40.53515625,6.46484375,40.5,195978.71875,1
"10n",35,20,"royds",0.571428571428571,NA,"1516",13,17.1012993,19.4971008,1.14009475708,NA,47.5101146698,6.12490439415,-40.53515625,6.46484375,40.5,195978.71875,1
"10n",22,8,"royds",0.363636363636364,NA,"1617",13,17.1012993,19.4971008,1.14009475708,NA,47.5101146698,6.12490439415,-40.53515625,6.46484375,40.5,195978.71875,1
"10n",29,30,"royds",1.03448275862069,NA,"1718",13,17.1012993,19.4971008,1.14009475708,NA,47.5101146698,6.12490439415,-40.53515625,6.46484375,40.5,195978.71875,1
"10s",164,198,"royds",1.20731707317073,NA,"1415",18,127.3059998,78.6953964,0.618159353733,NA,26.221649334348,16.5491271973,-37.1038225446,9.8961774554,5.25714285714,170423.623214,0
"10s",197,160,"royds",0.812182741116751,NA,"1516",18,127.3059998,78.6953964,0.618159353733,NA,26.221649334348,16.5491271973,-37.1038225446,9.8961774554,5.25714285714,170423.623214,0
"10s",188,67,"royds",0.356382978723404,NA,"1617",18,127.3059998,78.6953964,0.618159353733,NA,26.221649334348,16.5491271973,-37.1038225446,9.8961774554,5.25714285714,170423.623214,0
"10s",182,157,"royds",0.862637362637363,NA,"1718",18,127.3059998,78.6953964,0.618159353733,NA,26.221649334348,16.5491271973,-37.1038225446,9.8961774554,5.25714285714,170423.623214,0
"11-12",NA,520,"royds",NA,NA,"1718",19,614.9299927,446.2869873,0.725752532482,NA,358.908252768297,4.79077367927,-29.9062955729,17.0937044271,64.5733333333,205104.874271,1
"13",8,11,"royds",1.375,NA,"1415",27,3.66572,9.25453,2.52461457253,NA,NA,NA,NA,NA,NA,NA,1
"13",14,11,"royds",0.785714285714286,NA,"1516",27,3.66572,9.25453,2.52461457253,NA,NA,NA,NA,NA,NA,NA,1
"13",70,6,"royds",0.0857142857142857,NA,"1617",27,3.66572,9.25453,2.52461457253,NA,NA,NA,NA,NA,NA,NA,1
"13",16,13,"royds",0.8125,NA,"1718",27,3.66572,9.25453,2.52461457253,NA,NA,NA,NA,NA,NA,NA,1
"14a-b",40,25,"royds",0.625,NA,"1415",6,19.7672005,34.4425011,1.74240660667,NA,231.323878752856,2.69404894114,-42.3654785156,4.6345214844,76.25,210085.144531,1
"14a-b",38,22,"royds",0.578947368421053,NA,"1516",6,19.7672005,34.4425011,1.74240660667,NA,231.323878752856,2.69404894114,-42.3654785156,4.6345214844,76.25,210085.144531,1
"14a-b",28,1,"royds",0.0357142857142857,NA,"1617",6,19.7672005,34.4425011,1.74240660667,NA,231.323878752856,2.69404894114,-42.3654785156,4.6345214844,76.25,210085.144531,1
"14a-b",17,7,"royds",0.411764705882353,NA,"1718",6,19.7672005,34.4425011,1.74240660667,NA,231.323878752856,2.69404894114,-42.3654785156,4.6345214844,76.25,210085.144531,1
"19",47,42,"royds",0.893617021276596,NA,"1415",16,27.9501991,32.9219017,1.17787718773,NA,23.7503789232371,6.74965531485,-41.3226841518,5.6773158482,40.5714285714,192590.205357,1
"19",45,44,"royds",0.977777777777778,NA,"1516",16,27.9501991,32.9219017,1.17787718773,NA,23.7503789232371,6.74965531485,-41.3226841518,5.6773158482,40.5714285714,192590.205357,1
"19",55,28,"royds",0.509090909090909,NA,"1617",16,27.9501991,32.9219017,1.17787718773,NA,23.7503789232371,6.74965531485,-41.3226841518,5.6773158482,40.5714285714,192590.205357,1
"19",65,51,"royds",0.784615384615385,NA,"1718",16,27.9501991,32.9219017,1.17787718773,NA,23.7503789232371,6.74965531485,-41.3226841518,5.6773158482,40.5714285714,192590.205357,1
"1a",76,87,"royds",1.14473684210526,NA,"1415",0,68.1988983,47.5096016,0.6966329813,11.0745403671,247.608106841019,16.838924249,-40.8846571181,6.1153428819,126.833333333,215322.356771,0
"1a",82,64,"royds",0.780487804878049,NA,"1516",0,68.1988983,47.5096016,0.6966329813,11.0745403671,247.608106841019,16.838924249,-40.8846571181,6.1153428819,126.833333333,215322.356771,0
"1a",66,33,"royds",0.5,NA,"1617",0,68.1988983,47.5096016,0.6966329813,11.0745403671,247.608106841019,16.838924249,-40.8846571181,6.1153428819,126.833333333,215322.356771,0
"1a",68,68,"royds",1,NA,"1718",0,68.1988983,47.5096016,0.6966329813,11.0745403671,247.608106841019,16.838924249,-40.8846571181,6.1153428819,126.833333333,215322.356771,0
"1b",7,1,"royds",0.142857142857143,NA,"1415",2,2.56301,10.2701998,4.00708532333,NA,215.027954102,49.126083374,-44.546875,2.453125,209,232304.71875,0
"1b",6,0,"royds",0,NA,"1516",2,2.56301,10.2701998,4.00708532333,NA,215.027954102,49.126083374,-44.546875,2.453125,209,232304.71875,0
"1b",3,0,"royds",0,NA,"1617",2,2.56301,10.2701998,4.00708532333,NA,215.027954102,49.126083374,-44.546875,2.453125,209,232304.71875,0
"1b",3,0,"royds",0,NA,"1718",2,2.56301,10.2701998,4.00708532333,NA,215.027954102,49.126083374,-44.546875,2.453125,209,232304.71875,0
"1c",37,29,"royds",0.783783783783784,NA,"1415",1,19.8976994,33.6637001,1.69183886051,38.3874697398,206.491743915299,7.09435208639,-38.828125,8.171875,91,217009.166667,0
"1c",48,22,"royds",0.458333333333333,NA,"1516",1,19.8976994,33.6637001,1.69183886051,38.3874697398,206.491743915299,7.09435208639,-38.828125,8.171875,91,217009.166667,0
"1c",31,6,"royds",0.193548387096774,NA,"1617",1,19.8976994,33.6637001,1.69183886051,38.3874697398,206.491743915299,7.09435208639,-38.828125,8.171875,91,217009.166667,0
"1c",29,18,"royds",0.620689655172414,NA,"1718",1,19.8976994,33.6637001,1.69183886051,38.3874697398,206.491743915299,7.09435208639,-38.828125,8.171875,91,217009.166667,0
"2",93,102,"royds",1.09677419354839,NA,"1415",3,64.5832977,76.2911987,1.18128371239,0.515518327741,218.905745795929,13.0747263091,-41.7245396205,5.2754603795,115.071428571,223389.410714,0
"2",90,76,"royds",0.844444444444444,NA,"1516",3,64.5832977,76.2911987,1.18128371239,0.515518327741,218.905745795929,13.0747263091,-41.7245396205,5.2754603795,115.071428571,223389.410714,0
"2",73,27,"royds",0.36986301369863,NA,"1617",3,64.5832977,76.2911987,1.18128371239,0.515518327741,218.905745795929,13.0747263091,-41.7245396205,5.2754603795,115.071428571,223389.410714,0
"2",84,77,"royds",0.916666666666667,NA,"1718",3,64.5832977,76.2911987,1.18128371239,0.515518327741,218.905745795929,13.0747263091,-41.7245396205,5.2754603795,115.071428571,223389.410714,0
"20a",14,22,"royds",1.57142857142857,NA,"1415",24,6.58183,16.2957001,2.47586154938,NA,9.88661384583,6.42629861832,-42.6181640625,4.3818359375,47,192922.171875,1
"20a",20,14,"royds",0.7,NA,"1516",24,6.58183,16.2957001,2.47586154938,NA,9.88661384583,6.42629861832,-42.6181640625,4.3818359375,47,192922.171875,1
"20a",19,9,"royds",0.473684210526316,NA,"1617",24,6.58183,16.2957001,2.47586154938,NA,9.88661384583,6.42629861832,-42.6181640625,4.3818359375,47,192922.171875,1
"20a",13,15,"royds",1.15384615384615,NA,"1718",24,6.58183,16.2957001,2.47586154938,NA,9.88661384583,6.42629861832,-42.6181640625,4.3818359375,47,192922.171875,1
"20b",141,147,"royds",1.04255319148936,NA,"1415",25,126.6299973,117.0569992,0.924401819706,NA,0.214643279683549,21.9263327199,-36.4549521169,10.5450478831,12.1612903226,155671.644153,0
"20b",157,110,"royds",0.700636942675159,NA,"1516",25,126.6299973,117.0569992,0.924401819706,NA,0.214643279683549,21.9263327199,-36.4549521169,10.5450478831,12.1612903226,155671.644153,0
"20b",153,31,"royds",0.202614379084967,NA,"1617",25,126.6299973,117.0569992,0.924401819706,NA,0.214643279683549,21.9263327199,-36.4549521169,10.5450478831,12.1612903226,155671.644153,0
"20b",162,116,"royds",0.716049382716049,NA,"1718",25,126.6299973,117.0569992,0.924401819706,NA,0.214643279683549,21.9263327199,-36.4549521169,10.5450478831,12.1612903226,155671.644153,0
"21",263,312,"royds",1.18631178707224,NA,"1415",10,248.3410034,145.6990051,0.586689293385,NA,285.645100890015,11.9296396611,-39.6124441964,7.3875558036,93.5714285714,202235.727927,1
"21",326,251,"royds",0.769938650306748,NA,"1516",10,248.3410034,145.6990051,0.586689293385,NA,285.645100890015,11.9296396611,-39.6124441964,7.3875558036,93.5714285714,202235.727927,1
"21",277,161,"royds",0.581227436823105,NA,"1617",10,248.3410034,145.6990051,0.586689293385,NA,285.645100890015,11.9296396611,-39.6124441964,7.3875558036,93.5714285714,202235.727927,1
"21",398,373,"royds",0.937185929648241,NA,"1718",10,248.3410034,145.6990051,0.586689293385,NA,285.645100890015,11.9296396611,-39.6124441964,7.3875558036,93.5714285714,202235.727927,1
"23",44,59,"royds",1.34090909090909,NA,"1415",9,29.8241997,30.1858006,1.01212441921,NA,282.154786407592,7.60313102177,-37.3069196429,9.6930803571,88.2857142857,205739.821429,1
"23",57,47,"royds",0.824561403508772,NA,"1516",9,29.8241997,30.1858006,1.01212441921,NA,282.154786407592,7.60313102177,-37.3069196429,9.6930803571,88.2857142857,205739.821429,1
"23",43,27,"royds",0.627906976744186,NA,"1617",9,29.8241997,30.1858006,1.01212441921,NA,282.154786407592,7.60313102177,-37.3069196429,9.6930803571,88.2857142857,205739.821429,1
"23",43,40,"royds",0.930232558139535,NA,"1718",9,29.8241997,30.1858006,1.01212441921,NA,282.154786407592,7.60313102177,-37.3069196429,9.6930803571,88.2857142857,205739.821429,1
"3a",53,54,"royds",1.0188679245283,NA,"1415",28,28.1699009,31.2171993,1.10817563534,NA,164.680853473196,9.46956753731,-40.74609375,6.25390625,76.1666666667,219415.692708,1
"3a",50,36,"royds",0.72,NA,"1516",28,28.1699009,31.2171993,1.10817563534,NA,164.680853473196,9.46956753731,-40.74609375,6.25390625,76.1666666667,219415.692708,1
"3a",45,17,"royds",0.377777777777778,NA,"1617",28,28.1699009,31.2171993,1.10817563534,NA,164.680853473196,9.46956753731,-40.74609375,6.25390625,76.1666666667,219415.692708,1
"3a",38,34,"royds",0.894736842105263,NA,"1718",28,28.1699009,31.2171993,1.10817563534,NA,164.680853473196,9.46956753731,-40.74609375,6.25390625,76.1666666667,219415.692708,1
"3b",14,7,"royds",0.5,NA,"1415",29,10.0468998,15.2988997,1.5227483511,NA,183.025192663542,12.6633297602,-43.5358072917,3.4641927083,95,224847.067708,1
"3b",8,1,"royds",0.125,NA,"1516",29,10.0468998,15.2988997,1.5227483511,NA,183.025192663542,12.6633297602,-43.5358072917,3.4641927083,95,224847.067708,1
"3b",5,0,"royds",0,NA,"1617",29,10.0468998,15.2988997,1.5227483511,NA,183.025192663542,12.6633297602,-43.5358072917,3.4641927083,95,224847.067708,1
"3b",0,NA,"royds",NA,NA,"1718",29,10.0468998,15.2988997,1.5227483511,NA,183.025192663542,12.6633297602,-43.5358072917,3.4641927083,95,224847.067708,1
"3c",15,12,"royds",0.8,NA,"1415",4,8.7243099,19.9034996,2.28138375282,NA,204.2784957885,18.8792457581,-45.6499023438,1.3500976562,128,231214.578125,0
"3c",13,13,"royds",1,NA,"1516",4,8.7243099,19.9034996,2.28138375282,NA,204.2784957885,18.8792457581,-45.6499023438,1.3500976562,128,231214.578125,0
"3c",11,4,"royds",0.363636363636364,NA,"1617",4,8.7243099,19.9034996,2.28138375282,NA,204.2784957885,18.8792457581,-45.6499023438,1.3500976562,128,231214.578125,0
"3c",15,11,"royds",0.733333333333333,NA,"1718",4,8.7243099,19.9034996,2.28138375282,NA,204.2784957885,18.8792457581,-45.6499023438,1.3500976562,128,231214.578125,0
"4",22,6,"royds",0.272727272727273,NA,"1415",5,12.7202997,16.2056007,1.27399516106,NA,353.475277456625,11.1559710503,-42.7104492188,4.2895507812,45.25,184021.664063,1
"4",15,8,"royds",0.533333333333333,NA,"1516",5,12.7202997,16.2056007,1.27399516106,NA,353.475277456625,11.1559710503,-42.7104492188,4.2895507812,45.25,184021.664063,1
"4",9,0,"royds",0,NA,"1617",5,12.7202997,16.2056007,1.27399516106,NA,353.475277456625,11.1559710503,-42.7104492188,4.2895507812,45.25,184021.664063,1
"4",8,0,"royds",0,NA,"1718",5,12.7202997,16.2056007,1.27399516106,NA,353.475277456625,11.1559710503,-42.7104492188,4.2895507812,45.25,184021.664063,1
"5",52,46,"royds",0.884615384615385,NA,"1415",7,37.7114983,45.145401,1.19712567329,NA,266.907812703771,11.5628106594,-40.7703125,6.2296875,103.7,209999.229687,1
"5",61,41,"royds",0.672131147540984,NA,"1516",7,37.7114983,45.145401,1.19712567329,NA,266.907812703771,11.5628106594,-40.7703125,6.2296875,103.7,209999.229687,1
"5",53,3,"royds",0.0566037735849057,NA,"1617",7,37.7114983,45.145401,1.19712567329,NA,266.907812703771,11.5628106594,-40.7703125,6.2296875,103.7,209999.229687,1
"5",37,21,"royds",0.567567567567568,NA,"1718",7,37.7114983,45.145401,1.19712567329,NA,266.907812703771,11.5628106594,-40.7703125,6.2296875,103.7,209999.229687,1
"6",156,205,"royds",1.31410256410256,NA,"1415",8,113.8300018,117.1920013,1.02953529358,NA,301.564978069384,8.29858730521,-37.3643624442,9.6356375558,81.0357142857,200582.958705,1
"6",171,184,"royds",1.07602339181287,NA,"1516",8,113.8300018,117.1920013,1.02953529358,NA,301.564978069384,8.29858730521,-37.3643624442,9.6356375558,81.0357142857,200582.958705,1
"6",144,81,"royds",0.5625,NA,"1617",8,113.8300018,117.1920013,1.02953529358,NA,301.564978069384,8.29858730521,-37.3643624442,9.6356375558,81.0357142857,200582.958705,1
"6",172,162,"royds",0.941860465116279,NA,"1718",8,113.8300018,117.1920013,1.02953529358,NA,301.564978069384,8.29858730521,-37.3643624442,9.6356375558,81.0357142857,200582.958705,1
"9n",73,78,"royds",1.06849315068493,NA,"1415",12,49.8886986,41.5251007,0.832354843616,NA,68.4356990045178,11.0207406558,-36.8465294471,10.1534705529,18.5384615385,191883.519231,1
"9n",60,80,"royds",1.33333333333333,NA,"1516",12,49.8886986,41.5251007,0.832354843616,NA,68.4356990045178,11.0207406558,-36.8465294471,10.1534705529,18.5384615385,191883.519231,1
"9n",75,32,"royds",0.426666666666667,NA,"1617",12,49.8886986,41.5251007,0.832354843616,NA,68.4356990045178,11.0207406558,-36.8465294471,10.1534705529,18.5384615385,191883.519231,1
"9n",88,91,"royds",1.03409090909091,NA,"1718",12,49.8886986,41.5251007,0.832354843616,NA,68.4356990045178,11.0207406558,-36.8465294471,10.1534705529,18.5384615385,191883.519231,1
"9s",53,69,"royds",1.30188679245283,NA,"1415",11,28.6940994,36.7136002,1.27948260307,NA,79.0885079767824,4.22990769148,-34.82421875,12.17578125,48.3333333333,202271.268229,1
"9s",93,57,"royds",0.612903225806452,NA,"1516",11,28.6940994,36.7136002,1.27948260307,NA,79.0885079767824,4.22990769148,-34.82421875,12.17578125,48.3333333333,202271.268229,1
"9s",53,33,"royds",0.622641509433962,NA,"1617",11,28.6940994,36.7136002,1.27948260307,NA,79.0885079767824,4.22990769148,-34.82421875,12.17578125,48.3333333333,202271.268229,1
"9s",57,60,"royds",1.05263157894737,NA,"1718",11,28.6940994,36.7136002,1.27948260307,NA,79.0885079767824,4.22990769148,-34.82421875,12.17578125,48.3333333333,202271.268229,1
"wb2",40,49,"royds",1.225,NA,"1415",17,26.3882008,24.5359001,0.929805696011,NA,27.1759519147515,6.74554944038,-40.6254882813,6.3745117187,40.6666666667,192728.03125,1
"wb2",44,52,"royds",1.18181818181818,NA,"1516",17,26.3882008,24.5359001,0.929805696011,NA,27.1759519147515,6.74554944038,-40.6254882813,6.3745117187,40.6666666667,192728.03125,1
"wb2",37,12,"royds",0.324324324324324,NA,"1617",17,26.3882008,24.5359001,0.929805696011,NA,27.1759519147515,6.74554944038,-40.6254882813,6.3745117187,40.6666666667,192728.03125,1
"wb2",50,42,"royds",0.84,NA,"1718",17,26.3882008,24.5359001,0.929805696011,NA,27.1759519147515,6.74554944038,-40.6254882813,6.3745117187,40.6666666667,192728.03125,1
