Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN,MEAN_ASPECT,Rowid_1,SUBCOL_1,ZONE_CODE_1,COUNT_1,AREA_1,MEAN_1
,1a,1,18,72.000000000000000,-0.912726683749093,247.608437540563216,1,1a,1,18,72.000000000000000,-0.376041556398074
,1c,2,3,12.000000000000000,-0.446032504240672,206.492070076730101,2,1c,2,3,12.000000000000000,-0.894912958145142
,1b,3,1,4.000000000000000,-0.573980629444122,215.028276301518900,3,1b,3,1,4.000000000000000,-0.818868875503540
,2,4,14,56.000000000000000,-0.625405758619308,218.906071826835927,4,2,4,14,56.000000000000000,-0.774905805076872
,3c,5,2,8.000000000000000,-0.411007270216942,204.278827967279597,5,3c,5,2,8.000000000000000,-0.911177784204483
,4,6,4,16.000000000000000,-0.112837613560259,353.475596059509542,6,4,6,4,16.000000000000000,0.986626625061035
,14a-b,7,4,16.000000000000000,-0.774187475442886,231.324195042616907,7,14a-b,7,4,16.000000000000000,-0.619704544544220
,5,8,10,40.000000000000000,-0.978346508741379,266.908142967576907,8,5,8,10,40.000000000000000,-0.052845901995897
,6,9,28,112.000000000000000,-0.843738072684833,301.565308960146069,9,6,9,28,112.000000000000000,0.518367178738117
,23,10,7,28.000000000000000,-0.976426882403237,282.155109017775658,10,23,10,7,28.000000000000000,0.210310312254088
,21,11,63,252.000000000000000,-0.810290024630607,285.645432494007650,11,21,11,63,252.000000000000000,0.226929797835293
,9s,12,6,24.000000000000000,0.504602114359538,79.088830338508501,12,9s,12,6,24.000000000000000,0.097273073780040
,9n,13,13,52.000000000000000,0.926188670671903,68.436022963607684,13,9n,13,13,52.000000000000000,0.366030608232205
,10n,14,2,8.000000000000000,0.737387150526047,47.510439436328625,14,10n,14,2,8.000000000000000,0.675443708896637
,19,15,7,28.000000000000000,0.401902931077140,23.750702614024590,15,19,15,7,28.000000000000000,0.913363507815770
,wb2,16,6,24.000000000000000,0.456369519233704,27.176275117230205,16,wb2,16,6,24.000000000000000,0.888904213905334
,10s,17,35,140.000000000000000,0.438068537201200,26.221972734376493,17,10s,17,35,140.000000000000000,0.889411645276206
,11-12,18,150,600.000000000000000,-0.003667134878536,358.908585284624394,18,11-12,18,150,600.000000000000000,0.192489559175447
,20a,19,1,4.000000000000000,0.171704500913620,9.886937235589585,19,20a,19,1,4.000000000000000,0.985148489475250
,20b,20,31,124.000000000000000,0.003743295730542,0.214969867568016,20,20b,20,31,124.000000000000000,0.997693504056623
,13,21,1,4.000000000000000,-0.988072216510773,278.858291773834480,21,13,21,1,4.000000000000000,0.153991162776947
,3a,22,6,24.000000000000000,0.263173967599869,164.681178649802405,22,3a,22,6,24.000000000000000,-0.960761894782384
,3b,23,3,12.000000000000000,-0.052730239927769,183.025511042554541,23,3b,23,3,12.000000000000000,-0.997653464476267
,NN1,24,1,4.000000000000000,0.461853563785553,27.506780366144483,24,NN1,24,1,4.000000000000000,0.886956155300140
,NN6,25,2,8.000000000000000,0.194504082202911,11.229797450021181,25,NN6,25,2,8.000000000000000,0.979643195867538
,NN7,26,1,4.000000000000000,-0.995624899864197,264.638465833800467,26,NN7,26,1,4.000000000000000,-0.093439914286137